Complited in 2.582368
a[0][0] = 1, 
a[0][1] = 0.5, 
a[0][2] = 0.333333, 
a[0][3] = 0.25, 
a[0][4] = 0.2, 
a[0][5] = 0.166667, 
a[0][6] = 0.142857, 
a[0][7] = 0.125, 
a[0][8] = 0.111111, 
a[0][9] = 0.1, 
a[0][10] = 0.0909091, 
a[0][11] = 0.0833333, 
a[0][12] = 0.0769231, 
a[0][13] = 0.0714286, 
a[0][14] = 0.0666667, 
a[0][15] = 0.0625, 
a[0][16] = 0.0588235, 
a[0][17] = 0.0555556, 
a[0][18] = 0.0526316, 
a[0][19] = 0.05, 
a[0][20] = 0.047619, 
a[0][21] = 0.0454545, 
a[0][22] = 0.0434783, 
a[0][23] = 0.0416667, 
a[0][24] = 0.04, 
a[0][25] = 0.0384615, 
a[0][26] = 0.037037, 
a[0][27] = 0.0357143, 
a[0][28] = 0.0344828, 
a[0][29] = 0.0333333, 
a[0][30] = 0.0322581, 
a[0][31] = 0.03125, 
a[0][32] = 0.030303, 
a[0][33] = 0.0294118, 
a[0][34] = 0.0285714, 
a[0][35] = 0.0277778, 
a[0][36] = 0.027027, 
a[0][37] = 0.0263158, 
a[0][38] = 0.025641, 
a[0][39] = 0.025, 
a[0][40] = 0.0243902, 
a[0][41] = 0.0238095, 
a[0][42] = 0.0232558, 
a[0][43] = 0.0227273, 
a[0][44] = 0.0222222, 
a[0][45] = 0.0217391, 
a[0][46] = 0.0212766, 
a[0][47] = 0.0208333, 
a[0][48] = 0.0204082, 
a[0][49] = 0.02, 

a[4][0] = 0.2, 
a[4][1] = 0.0666667, 
a[4][2] = 0.0261905, 
a[4][3] = 0.0131746, 
a[4][4] = 0.111111, 
a[4][5] = 0.9, 
a[4][6] = 0.818182, 
a[4][7] = 0.75, 
a[4][8] = 0.692308, 
a[4][9] = 0.642857, 
a[4][10] = 0.6, 
a[4][11] = 0.5625, 
a[4][12] = 0.529412, 
a[4][13] = 0.5, 
a[4][14] = 0.473684, 
a[4][15] = 0.45, 
a[4][16] = 0.428571, 
a[4][17] = 0.409091, 
a[4][18] = 0.391304, 
a[4][19] = 0.375, 
a[4][20] = 0.36, 
a[4][21] = 0.346154, 
a[4][22] = 0.333333, 
a[4][23] = 0.321429, 
a[4][24] = 0.310345, 
a[4][25] = 0.3, 
a[4][26] = 0.290323, 
a[4][27] = 0.28125, 
a[4][28] = 0.272727, 
a[4][29] = 0.264706, 
a[4][30] = 0.257143, 
a[4][31] = 0.25, 
a[4][32] = 0.243243, 
a[4][33] = 0.236842, 
a[4][34] = 0.230769, 
a[4][35] = 0.225, 
a[4][36] = 0.219512, 
a[4][37] = 0.214286, 
a[4][38] = 0.209302, 
a[4][39] = 0.204545, 
a[4][40] = 0.2, 
a[4][41] = 0.195652, 
a[4][42] = 0.191489, 
