Complited in 0.996132
a[0][0] = 0.5, 
a[0][1] = 2, 
a[0][2] = 0.666667, 
a[0][3] = 0.5, 
a[0][4] = 0.4, 
a[0][5] = 0.333333, 
a[0][6] = 0.285714, 
a[0][7] = 0.25, 
a[0][8] = 0.222222, 
a[0][9] = 0.2, 
a[0][10] = 0.181818, 
a[0][11] = 0.166667, 
a[0][12] = 0.153846, 
a[0][13] = 0.142857, 
a[0][14] = 0.133333, 
a[0][15] = 0.125, 
a[0][16] = 0.117647, 
a[0][17] = 0.111111, 
a[0][18] = 0.105263, 
a[0][19] = 0.1, 
a[0][20] = 0.0952381, 
a[0][21] = 0.0909091, 
a[0][22] = 0.0869565, 
a[0][23] = 0.0833333, 
a[0][24] = 0.08, 
a[0][25] = 0.0769231, 
a[0][26] = 0.0740741, 
a[0][27] = 0.0714286, 
a[0][28] = 0.0689655, 
a[0][29] = 0.0666667, 
a[0][30] = 0.0645161, 
a[0][31] = 0.0625, 
a[0][32] = 0.0606061, 
a[0][33] = 0.0588235, 
a[0][34] = 0.0571429, 
a[0][35] = 0.0555556, 
a[0][36] = 0.0540541, 
a[0][37] = 0.0526316, 
a[0][38] = 0.0512821, 
a[0][39] = 0.05, 
a[0][40] = 0.0487805, 
a[0][41] = 0.047619, 
a[0][42] = 0.0465116, 
a[0][43] = 0.0454545, 
a[0][44] = 0.0444444, 
a[0][45] = 0.0434783, 
a[0][46] = 0.0425532, 
a[0][47] = 0.0416667, 
a[0][48] = 0.0408163, 
a[0][49] = 0.04, 

a[4][0] = 0.166667, 
a[4][1] = 0.0416667, 
a[4][2] = 0.075, 
a[4][3] = 0.00257937, 
a[4][4] = 5.91691e-05, 
a[4][5] = -0.993576, 
a[4][6] = -1.06696, 
a[4][7] = -0.995834, 
a[4][8] = -0.85114, 
a[4][9] = -0.675354, 
a[4][10] = -0.492445, 
a[4][11] = -0.315269, 
a[4][12] = -0.150217, 
a[4][13] = 0.8197, 
a[4][14] = 0.134713, 
a[4][15] = 0.254354, 
a[4][16] = 0.359902, 
a[4][17] = 0.452576, 
a[4][18] = 0.533657, 
a[4][19] = 0.604393, 
a[4][20] = 0.665951, 
a[4][21] = 0.719398, 
a[4][22] = 0.765693, 
a[4][23] = 0.805688, 
a[4][24] = 0.840138, 
a[4][25] = 0.869708, 
a[4][26] = 0.894983, 
a[4][27] = 0.916474, 
a[4][28] = 0.934633, 
a[4][29] = 0.949853, 
a[4][30] = 0.962481, 
a[4][31] = 0.972821, 
a[4][32] = 0.98114, 
a[4][33] = 0.987673, 
a[4][34] = 0.992627, 
a[4][35] = 0.996185, 
a[4][36] = 0.998508, 
a[4][37] = 0.999737, 
a[4][38] = -0.670664, 
