Complited in 3.376581
a[0][0] = 1, 
a[0][1] = 0.5, 
a[0][2] = 0.333333, 
a[0][3] = 0.25, 
a[0][4] = 0.2, 
a[0][5] = 0.166667, 
a[0][6] = 0.142857, 
a[0][7] = 0.125, 
a[0][8] = 0.111111, 
a[0][9] = 0.1, 
a[0][10] = 0.0909091, 
a[0][11] = 0.0833333, 
a[0][12] = 0.0769231, 
a[0][13] = 0.0714286, 
a[0][14] = 0.0666667, 
a[0][15] = 0.0625, 
a[0][16] = 0.0588235, 
a[0][17] = 0.0555556, 
a[0][18] = 0.0526316, 
a[0][19] = 0.05, 
a[0][20] = 0.047619, 
a[0][21] = 0.0454545, 
a[0][22] = 0.0434783, 
a[0][23] = 0.0416667, 
a[0][24] = 0.04, 
a[0][25] = 0.0384615, 
a[2][0] = 0.333333, 
a[2][1] = 0.0833333, 
a[2][2] = 0.00555556, 
a[2][3] = 1.5, 
a[2][4] = 1.71429, 
a[2][5] = 1.78571, 
a[2][6] = 1.78571, 
a[2][7] = 1.75, 
a[2][8] = 1.69697, 
a[2][9] = 1.63636, 
a[2][10] = 1.57343, 
a[2][11] = 1.51099, 
a[2][12] = 1.45055, 
a[2][13] = 1.39286, 
a[2][14] = 1.33824, 
a[2][15] = 1.28676, 
a[2][16] = 1.23839, 
a[2][17] = 1.19298, 
a[2][18] = 1.15038, 
a[2][19] = 1.11039, 
a[2][20] = 1.07284, 
a[2][21] = 1.03755, 
a[2][22] = 1.00435, 
a[2][23] = 0.973077, 
a[2][24] = 0.94359, 
a[2][25] = 0.915751, 
a[2][26] = 0.889436, 
a[2][27] = 0.864532, 
a[2][28] = 0.840934, 
a[2][29] = 0.818548, 
a[2][30] = 0.797287, 
a[2][31] = 0.777072, 
a[2][32] = 0.75783, 
a[2][33] = 0.739496, 
a[2][34] = 0.722008, 
a[2][35] = 0.705311, 
a[2][36] = 0.689353, 
a[2][37] = 0.674089, 
a[2][38] = 0.659475, 
a[2][39] = 0.64547, 
a[2][40] = 0.63204, 
a[2][41] = 0.619148, 
a[2][42] = 0.606765, 
a[2][43] = 0.594862, 
a[2][44] = 0.58341, 
a[2][45] = 0.572387, 
a[2][46] = 0.561767, 
a[2][47] = 0.551531, 
a[2][48] = 0.541657, 
a[2][49] = 0.532127, 
a[2][50] = 0.522923, 
a[2][51] = 0.51403, 
a[2][52] = 0.505432, 
a[2][53] = 0.497114, 
a[2][54] = 0.489064, 
a[2][55] = 0.481268, 
a[2][56] = 0.473715, 
a[2][57] = 0.466394, 
a[2][58] = 0.459294, 
a[2][59] = 0.452406, 
a[2][60] = 0.44572, 
a[2][61] = 0.439228, 
a[2][62] = 0.432921, 
a[2][63] = 0.426792, 
a[2][64] = 0.420833, 
a[2][65] = 0.415037, 
a[2][66] = 0.409398, 
